Age,GPA,Interested Domain,Projects,Future Career,Python,SQL,Java
21,3.5,Artificial Intelligence,Chatbot Development,Machine Learning Researcher,3,3,1
20,3.2,Data Science,Data Analytics,Data Scientist,2,3,1
22,3.8,Software Development,E-commerce Website,Software Engineer,3,3,2
21,3.7,Web Development,Full-Stack Web App,Web Developer,1,3,3
23,3.4,Cybersecurity,Network Security,Information Security,2,1,3
22,3.9,Machine Learning,Image Recognition,Machine Learning Engineer,3,2,1
20,3.6,Database Management,SQL Query Optimization,Database Administrator,2,3,1
21,3.7,Cloud Computing,AWS Deployment,Cloud Architect,1,3,2
23,3.3,Mobile App Development,Android App,Mobile App Developer,2,1,3
22,3.5,Computer Graphics,3D Rendering,Graphics,1,2,3
21,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,3,3,2
21,3.3,Mobile App Development,iOS App,Mobile App Developer,2,1,3
23,3.5,Computer Graphics,Game Development,Game Developer,1,2,3
22,3.8,Software Engineering,E-commerce Website,Software Engineer,3,3,2
20,3.6,Cybersecurity,Network Security,Information Security,2,1,3
21,3.9,Machine Learning,Image Recognition,Machine Learning Engineer,3,2,1
23,3.6,Database Management,SQL Query Optimization,Database Administrator,2,3,1
22,3.7,Cloud Computing,AWS Deployment,Cloud Architect,1,3,2
20,3.3,Mobile App Development,Android App,Mobile App Developer,2,1,3
21,3.5,Computer Graphics,3D Rendering,Graphics,1,2,3
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,3,3,2
21,3.3,Mobile App Development,iOS App,Mobile App Developer,2,1,3
23,3.5,Computer Graphics,Game Development,Game Developer,1,2,3
22,3.8,Software Engineering,E-commerce Website,Software Engineer,3,3,2
20,3.6,Cybersecurity,Network Security,Information Security,2,1,3
21,3.9,Machine Learning,Image Recognition,Machine Learning Engineer,3,2,1
23,3.6,Database Management,SQL Query Optimization,Database Administrator,2,3,1
22,3.7,Cloud Computing,AWS Deployment,Cloud Architect,1,3,2
20,3.3,Mobile App Development,Android App,Mobile App Developer,2,1,3
21,3.5,Computer Graphics,3D Rendering,Graphics,1,2,3
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,3,3,2
21,3.3,Mobile App Development,iOS App,Mobile App Developer,2,1,3
23,3.5,Computer Graphics,Game Development,Game Developer,1,2,3
22,3.8,Software Engineering,E-commerce Website,Software Engineer,3,3,2
20,3.6,Cybersecurity,Network Security,Information Security,2,1,3
21,3.9,Machine Learning,Image Recognition,Machine Learning Engineer,3,2,1
22,3.6,Cloud Computing,GCP Deployment,Cloud Architect,3,3,2
20,3.3,Software Development,Social Media Platform,Software Engineer,2,1,3
21,3.7,Web Development,E-commerce Website,Web Developer,1,3,3
23,3.5,Mobile App Development,iOS Game,Mobile App Developer,2,1,3
22,3.8,Computer Graphics,3D Animation,Graphics,1,2,3
21,3.6,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
20,3.3,Data Science,Machine Learning,Data Scientist,2,3,1
22,3.7,Cybersecurity,Network Security,Information Security,1,3,2
21,3.5,Database Management,SQL Query Optimization,Database Administrator,2,1,3
23,3.8,Cloud Computing,AWS Deployment,Cloud Architect,3,3,2
22,3.6,Software Development,Social Media Platform,Software Engineer,2,1,3
21,3.7,Web Development,E-commerce Website,Web Developer,1,3,3
20,3.3,Mobile App Development,Android Game,Mobile App Developer,2,1,3
22,3.8,Computer Graphics,3D Modeling,Graphics,1,2,3
21,3.6,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
20,3.3,Data Science,Machine Learning,Data Scientist,2,3,1
22,3.7,Cybersecurity,Network Security,Information Security,1,3,2
21,3.5,Database Management,SQL Query Optimization,Database Administrator,2,1,3
23,3.8,Cloud Computing,AWS Deployment,Cloud Architect,3,3,2
22,3.6,Software Development,Social Media Platform,Software Engineer,2,1,3
20,3.3,Web Development,E-commerce Website,Web Developer,1,3,3
21,3.7,Mobile App Development,Android Game,Mobile App Developer,2,1,3
22,3.5,Computer Graphics,3D Animation,Graphics,1,2,3
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
20,3.3,Data Science,Machine Learning,Data Scientist,2,3,1
22,3.7,Cybersecurity,Network Security,Information Security,1,3,2
21,3.5,Database Management,SQL Query Optimization,Database Administrator,2,1,3
23,3.8,Cloud Computing,AWS Deployment,Cloud Architect,3,3,2
22,3.6,Software Development,Social Media Platform,Software Engineer,2,1,3
20,3.3,Web Development,E-commerce Website,Web Developer,1,3,3
21,3.7,Mobile App Development,Android Game,Mobile App Developer,2,1,3
22,3.5,Computer Graphics,3D Animation,Graphics,1,2,3
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
20,3.3,Data Science,Machine Learning,Data Scientist,2,3,1
22,3.7,Cybersecurity,Network Security,Information Security,1,3,2
21,3.5,Database Management,SQL Query Optimization,Database Administrator,2,1,3
22,3.7,Cybersecurity,Network Security,Information Security,1,3,2
35,3.9,Cloud Computing,AWS Deployment,Cloud Architect,3,3,2
33,3.8,Cybersecurity,Network Security,Information Security,1,3,2
37,3.7,Database Management,SQL Query Optimization,Database Administrator,2,1,3
29,3.6,Mobile App Development,Android Game,Mobile App Developer,3,2,3
31,3.5,Web Development,E-commerce Website,Web Developer,1,3,3
35,3.9,Software Development,Social Media Platform,Software Engineer,2,1,3
37,3.8,Computer Graphics,3D Animation,Graphics,1,2,3
29,3.7,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,2,1
33,3.6,Data Science,Machine Learning,Data Scientist,2,3,1
22,3.7,Network Security,Firewall Management,Security Analyst,3,2,1
21,3.6,Machine Learning,Deep Learning Models,Machine Learning Engineer,3,2,1
23,3.8,Database Management,Data Warehouse Design,Database Administrator,2,3,1
22,3.5,Software Development,Embedded Systems,Embedded Software Engineer,1,3,2
21,3.9,Web Development,Front-End Development,Web Developer,3,2,1
20,3.7,Data Science,Statistical Analysis,Data Analyst,3,2,1
22,3.4,Artificial Intelligence,Robotics,Robotics Engineer,3,3,1
21,3.5,Game Development,Mobile Game Development,Game Developer,1,3,2
23,3.6,Cybersecurity,Penetration Testing,Ethical Hacker,3,3,2
20,3.2,Computer Vision,Object Detection,Computer Vision,3,2,1
22,3.8,Software Engineering,DevOps,DevOps Engineer,3,2,1
21,3.7,Bioinformatics,Genomic Data Analysis,Bioinformatician,1,3,3
23,3.4,IoT (Internet of Things),Smart Home Automation,IoT,1,3,2
22,3.9,Natural Language Processing,Chatbot Development,NLP Engineer,3,2,1
20,3.6,Data Mining,Market Analysis,Data Analyst,3,2,1
21,3.7,Cloud Computing,Cloud Migration Specialist,Cloud Architect,1,3,2
23,3.3,Human-Computer Interaction,Usability Testing,UX Designer,3,2,1
22,3.5,Biomedical Computing,Medical Imaging Analysis,Healthcare IT,1,3,2
21,3.8,Quantum Computing,Quantum Algorithm Development,Quantum Computing Researcher,3,2,1
22,3.7,Computer Graphics,Virtual Reality Development,VR Developer,1,3,2
21,3.3,Blockchain Technology,Smart Contracts Developer,Blockchain Engineer,1,2,3
23,3.5,Information Retrieval,Search Engine Optimization,SEO Specialist,1,2,3
22,3.8,Data Privacy,Privacy Compliance Officer,Data Privacy,1,2,3
20,3.6,Geographic Information Systems,GIS Mapping,Geospatial Analyst,1,2,3
21,3.9,Distributed Systems,Distributed Systems Architect,Systems Engineer,1,2,3
23,3.6,Digital Forensics,Computer Forensic Analyst,Digital Forensics Specialist,1,2,3
22,3.7,Bioinformatics,Protein Structure Prediction,Bioinformatician,1,2,3
20,3.3,Human-Computer Interaction,User Experience Researcher,UX Designer,1,2,3
21,3.5,Biomedical Computing,Healthcare Data Analyst,Healthcare IT,1,2,3
23,3.8,Quantum Computing,Quantum Algorithm Development,Quantum Computing Researcher,1,2,3
20,3.6,Artificial Intelligence,Neural Network Development,AI,3,2,1
22,3.4,Data Science,Big Data Analytics,Data Analyst,2,3,1
21,3.9,Software Development,Mobile App Development,Software Engineer,3,3,2
23,3.7,Web Development,E-commerce Website,Web Developer,1,3,3
22,3.5,Cybersecurity,Network Security,Information Security,2,1,3
21,3.8,Machine Learning,Image Classification,Machine Learning Engineer,3,1,1
20,3.7,Database Management,SQL Database Design,Database Administrator,1,3,2
23,3.3,Cloud Computing,Cloud Infrastructure Management,Cloud Architect,3,1,1
22,3.5,Mobile App Development,iOS App Development,Mobile App Developer,2,3,1
21,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,1,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,1,3,3
23,3.3,Mobile App Development,Android App Development,Mobile App Developer,2,1,3
20,3.5,Computer Graphics,3D Modeling,Graphics,1,2,3
22,3.8,Software Engineering,Enterprise Software Development,Software Engineer,3,3,2
21,3.7,Cybersecurity,Network Security,Information Security,2,1,3
23,3.3,Database Management,SQL Query Optimization,Database Administrator,2,3,1
22,3.5,Cloud Computing,AWS Deployment,Cloud Architect,1,3,2
21,3.8,Artificial Intelligence,Computer Vision,AI,3,2,1
23,3.7,Data Science,Machine Learning,Data Scientist,2,3,1
20,3.6,Software Development,Web Application Development,Software Engineer,3,1,3
22,3.4,Web Development,E-commerce Website,Web Developer,1,3,3
21,3.9,Cybersecurity,Security Auditing,Information Security,3,2,1
23,3.7,Machine Learning,Natural Language Processing,Machine Learning Engineer,3,2,1
22,3.5,Database Management,SQL Database Administration,Database Administrator,1,3,2
21,3.8,Cloud Computing,Cloud Solution Architecture,Cloud Architect,3,3,1
20,3.7,Mobile App Development,Cross-Platform App Development,Mobile App Developer,1,3,2
23,3.3,Artificial Intelligence,Reinforcement Learning,AI,3,1,2
22,3.5,Data Science,Data Mining,Data Analyst,2,1,3
21,3.6,Web Development,Front-End Development,Web Developer,1,3,2
20,3.7,Machine Learning,Computer Vision,Machine Learning Engineer,3,2,1
22,3.7,Artificial Intelligence,Reinforcement Learning,AI,3,2,1
21,3.6,Data Science,Machine Learning,Data Scientist,3,2,1
20,3.8,Software Development,Mobile App Development,Software Engineer,3,3,2
23,3.7,Web Development,E-commerce Website,Web Developer,1,3,3
22,3.5,Cybersecurity,Network Security,Information Security,2,1,3
21,3.9,Machine Learning,Image Classification,Machine Learning Engineer,3,2,1
22,3.7,Database Management,SQL Database Design,Database Administrator,1,3,2
20,3.6,Cloud Computing,Cloud Infrastructure Management,Cloud Architect,3,1,1
21,3.5,Mobile App Development,iOS App Development,Mobile App Developer,1,3,2
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,1,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,1,3,3
20,3.6,Cybersecurity,Security Auditing,Information Security,3,2,1
21,3.4,Machine Learning,Natural Language Processing,Machine Learning Engineer,3,2,1
22,3.5,Database Management,SQL Database Administration,Database Administrator,1,3,2
23,3.7,Cloud Computing,Cloud Solution Architecture,Cloud Architect,3,3,1
20,3.8,Mobile App Development,Cross-Platform App Development,Mobile App Developer,1,3,2
21,3.7,Artificial Intelligence,Reinforcement Learning,AI,3,1,2
22,3.5,Data Science,Data Mining,Data Analyst,2,1,3
23,3.6,Web Development,Front-End Development,Web Developer,1,3,2
20,3.7,Machine Learning,Computer Vision,Machine Learning Engineer,3,2,1
22,3.7,Artificial Intelligence,Neural Network Development,AI,3,2,1
21,3.6,Data Science,Big Data Analytics,Data Analyst,2,3,1
20,3.8,Software Development,Mobile App Development,Software Engineer,3,3,2
23,3.7,Web Development,E-commerce Website,Web Developer,1,3,3
22,3.5,Cybersecurity,Network Security,Information Security,2,1,3
21,3.9,Machine Learning,Image Classification,Machine Learning Engineer,3,2,1
22,3.7,Database Management,SQL Database Design,Database Administrator,1,3,2
20,3.6,Cloud Computing,Cloud Infrastructure Management,Cloud Architect,3,1,1
21,3.5,Mobile App Development,iOS App Development,Mobile App Developer,1,3,2
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,1,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,1,3,3
20,3.6,Cybersecurity,Security Auditing,Information Security,3,2,1
21,3.4,Machine Learning,Natural Language Processing,Machine Learning Engineer,3,2,1
22,3.5,Database Management,SQL Database Administration,Database Administrator,1,3,2
23,3.7,Cloud Computing,Cloud Solution Architecture,Cloud Architect,3,3,1
